#separator:tab
#html:true
#deck:Operating Systems
#notetype:Basic

Question	Answer	Tags
What is an Operating System?	Software that manages all hardware and software resources, providing an environment for program execution by hiding hardware complexity and acting as a resource manager.	OS::Unit1_Intro
What are the two key roles of an OS?	<b>Arbitration</b> (resource management: memory, device, file, security, process) and <b>Abstraction</b> (hiding underlying hardware complexity).	OS::Unit1_Intro
What problems arise if there is no OS?	1. Apps become bulky &amp; complex (hardware code embedded in app).<br>2. Single app can exploit all resources.<br>3. No memory protection.	OS::Unit1_Intro
What are the three goals of an OS?	1. Maximum CPU utilization.<br>2. Less process starvation.<br>3. Higher priority job execution.	OS::Unit1_Intro
What is a Single Process OS?	Only one process executes at a time from the ready queue. Oldest type. Example: MS-DOS (1981).	OS::Unit1_Types
What is a Batch Processing OS?	Operator groups similar jobs into batches and submits them. All jobs in a batch execute together. Drawbacks: no priorities, starvation, CPU idle on I/O.	OS::Unit1_Types
What is Multiprogramming OS?	Multiple jobs kept in memory so CPU always has one to execute when another is doing I/O. Single CPU, context switching on wait state. Reduces CPU idle time. Example: THE (Dijkstra, early 1960s).	OS::Unit1_Types
How does Multitasking differ from Multiprogramming?	Multitasking is a logical extension of multiprogramming. It uses <b>time sharing AND context switching</b> to run multiple tasks simultaneously, further reducing CPU idle time and increasing responsiveness.	OS::Unit1_Types
What is a Multi-processing OS?	More than one CPU in a single computer. Benefits: increased reliability, better throughput, lesser process starvation. Example: Windows NT.	OS::Unit1_Types
What is a Distributed OS?	Manages multiple loosely connected autonomous nodes (≥1 CPUs, memories, GPUs). Collection of independent, networked, communicating, physically separate computational nodes. Example: LOCUS.	OS::Unit1_Types
What is a Real-Time OS (RTOS)?	Error-free computations within tight time boundaries. Used in Air Traffic Control, ROBOTS. Example: ATCS.	OS::Unit1_Types
What is a Program?	A compiled executable file containing instructions, stored on disk. Ready to be executed but not yet running.	OS::Unit1_Intro
What is a Process?	A program under execution. Resides in the computer's primary memory (RAM).	OS::Unit1_Intro
What is a Thread?	A single sequence stream within a process. A lightweight, independent path of execution used to achieve parallelism within a process.	OS::Unit1_Intro
Key difference: Multitasking vs Multi-threading (memory)?	<b>Multitasking</b>: OS allocates separate memory to each process — isolation exists.<br><b>Multi-threading</b>: Threads of the same process share memory and resources — no isolation.	OS::Unit1_Intro
Thread context switching vs Process context switching — key difference?	<b>Thread</b>: saves thread state, switches to another thread of <i>same process</i>. No memory address space switch → fast, CPU cache preserved.<br><b>Process</b>: switches address space → slow, CPU cache flushed.	OS::Unit1_Intro
What is a Kernel?	The core part of the OS that interacts directly with hardware and performs the most crucial tasks. It is the very first part of the OS to load at startup.	OS::Unit1_Components
What is User Space?	Where application software runs. Apps don't have privileged access to hardware. Interacts with the kernel via GUI or CLI.	OS::Unit1_Components
What is a Shell?	A command interpreter — the part of the OS that receives commands from users and gets them executed.	OS::Unit1_Components
List the four functions of the Kernel.	1. <b>Process management</b> (scheduling, create/delete, sync).<br>2. <b>Memory management</b> (allocate/deallocate, track usage).<br>3. <b>File management</b> (create/delete files &amp; directories).<br>4. <b>I/O management</b> (buffering, caching, spooling).	OS::Unit1_Components
Monolithic Kernel — pros and cons?	<b>Pros:</b> High performance (fast communication, less mode-switch overhead).<br><b>Cons:</b> Bulky, high memory usage, less reliable (one module crash = whole kernel down).<br>Examples: Linux, Unix, MS-DOS.	OS::Unit1_Components
Micro Kernel — pros and cons?	<b>Pros:</b> Smaller size, more reliable, more stable.<br><b>Cons:</b> Slow performance due to overhead switching between user/kernel mode.<br>Examples: L4 Linux, Symbian OS, MINIX.	OS::Unit1_Components
What does a Hybrid Kernel combine?	Advantages of both monolithic (speed &amp; design) and micro (modularity &amp; stability). File mgmt in user space, rest in kernel space. Examples: macOS, Windows NT/7/10.	OS::Unit1_Components
What is IPC and why is it needed?	<b>Inter-Process Communication.</b> Needed because processes run independently with separate memory (protection), but sometimes must communicate. Done via <b>shared memory</b> or <b>message passing</b>.	OS::Unit1_Components
What is a System Call?	A mechanism by which a user program requests a kernel service it doesn't have permission to perform directly. The <b>only way</b> a process can go from user mode to kernel mode.	OS::Unit1_SystemCalls
How does user mode transition to kernel mode?	Via <b>software interrupts</b>.<br>Flow: User App → Glibc → System Call Interface (SCI) → Kernel Mode.	OS::Unit1_SystemCalls
Name the 5 types of System Calls with examples.	1. <b>Process Control</b>: fork(), exit(), wait()<br>2. <b>File Management</b>: open(), read(), write()<br>3. <b>Device Management</b>: ioctl(), read()<br>4. <b>Information Maintenance</b>: getpid(), alarm()<br>5. <b>Communication Management</b>: pipe(), shmget(), mmap()	OS::Unit1_SystemCalls
What happens when you turn on a computer?	CPU → loads BIOS (ROM chip) → <b>POST</b> (Power-on Self-Test) → BIOS hands off to bootloader via MBR → Bootloader loads Kernel → then User Space.	OS::Unit1_Boot
What is POST?	Power On Self-Test. BIOS tests and initializes system hardware. If something is wrong (e.g., missing RAM), an error is thrown and the boot process stops.	OS::Unit1_Boot
What is GRUB?	GRand Unified Bootloader — the bootloader used by most Linux systems. Its job is to boot the rest of the OS (kernel first, then user space).	OS::Unit1_Boot
32-bit vs 64-bit OS — addressable memory?	<b>32-bit:</b> 2^32 addresses = 4 GB physical memory.<br><b>64-bit:</b> 2^64 addresses = ~17.2 billion GB.<br>64-bit CPUs can run both 32-bit and 64-bit OS; 32-bit can only run 32-bit.	OS::Unit1_Misc
What are the memory types in a computer system (fastest to slowest)?	Register → Cache → Main Memory (RAM) → Secondary Memory (disk).<br>Primary memory is <b>volatile</b>; secondary is <b>non-volatile</b>. Registers are most expensive.	OS::Unit1_Misc
What is a PCB (Process Control Block)?	A data structure storing all attributes of a process:<br>• Process ID (unique identifier)<br>• Program Counter (next instruction address)<br>• Process State<br>• Priority<br>• Registers<br>• List of open files<br>• List of open devices	OS::Unit2_Process
What are the 5 process states?	<b>New:</b> being created.<br><b>Ready:</b> in memory, waiting for CPU.<br><b>Running:</b> instructions executing, CPU allocated.<br><b>Waiting:</b> waiting for I/O or event.<br><b>Terminated:</b> finished execution, PCB removed from process table.	OS::Unit2_Process
What are the three process queues?	<b>Job Queue:</b> new state, secondary memory → LTS loads to memory.<br><b>Ready Queue:</b> ready state, main memory → STS dispatches to CPU.<br><b>Waiting Queue:</b> processes waiting for I/O.	OS::Unit2_Process
What is the Long-Term Scheduler (LTS)?	Picks processes from the job pool (secondary memory) and loads them into main memory for execution. Controls the <b>degree of multiprogramming</b>.	OS::Unit2_Process
What is the Short-Term Scheduler (STS) / CPU Scheduler?	Picks a process from the ready queue and dispatches it to the CPU whenever the CPU becomes idle. Done by the Dispatcher.	OS::Unit2_Process
What is the Dispatcher?	The OS module that gives actual control of the CPU to the process selected by the STS. Different from the scheduler itself.	OS::Unit2_Process
What is Swapping?	Medium-Term Scheduler (MTS) removes processes from memory (<b>swap-out</b>) to reduce multiprogramming degree, then reintroduces them (<b>swap-in</b>) later, continuing from where they left off.	OS::Unit2_Process
What is Context Switching?	Saving the state (context) of the current running process into its PCB, then loading the saved context of a new process to run. It is <b>pure overhead</b> — no useful work is done during switching.	OS::Unit2_Process
What is an Orphan Process?	A process whose parent has terminated but it is still running. Orphan processes are adopted by the <b>init</b> process (first process of the OS).	OS::Unit2_Process
What is a Zombie / Defunct Process?	A process that has finished execution but still has an entry in the process table, because the parent hasn't read its exit status yet. Eliminated by <b>reaping</b> via the wait() system call.	OS::Unit2_Process
What is the memory architecture of a Process?	<b>Text:</b> compiled code (loaded from disk).<br><b>Data:</b> global &amp; static data.<br><b>Heap:</b> dynamically allocated variables (grows upward).<br><b>Stack:</b> local variables, function arguments &amp; return values (grows downward).	OS::Unit2_Process
What is Non-Preemptive Scheduling?	Once CPU is allocated, the process keeps it until it terminates or switches to wait state voluntarily. Can cause starvation and low CPU utilization.	OS::Unit2_Scheduling
What is Preemptive Scheduling?	CPU can be taken away from a process after time quantum expires or on I/O/wait. Less starvation, higher CPU utilization.	OS::Unit2_Scheduling
Define all CPU scheduling time metrics.	<b>AT</b> = Arrival Time.<br><b>BT</b> = Burst Time (execution time needed).<br><b>CT</b> = Completion Time.<br><b>TAT</b> = Turnaround Time = CT − AT.<br><b>WT</b> = Wait Time = TAT − BT.<br><b>Response Time</b> = time from entering ready queue to first getting CPU.	OS::Unit2_Scheduling
What is FCFS scheduling and its main problem?	<b>First Come First Served</b> — first arriving process gets CPU first. Non-preemptive, simple. Main problem: <b>Convoy Effect</b> — one long BT process blocks many short ones, causing poor resource use.	OS::Unit2_Scheduling
What is SJF (Non-preemptive)?	Process with least Burst Time dispatched first. Criteria: AT + BT. Drawback: starvation possible; correct BT estimation is practically impossible. Suffers convoy effect if first process has large BT.	OS::Unit2_Scheduling
What is Preemptive SJF (PSJF / SRTF)?	Current process is preempted if a new process arrives with shorter remaining BT. Less starvation, no convoy effect. <b>Gives minimum average WT</b> for a given set of processes.	OS::Unit2_Scheduling
What is Priority Scheduling and its problem?	Priority assigned at creation; highest priority gets CPU first. Problem: <b>Starvation</b> — low priority processes may never execute.<br>Solution: <b>Aging</b> — gradually increase priority of long-waiting processes (e.g., +1 every 15 min).	OS::Unit2_Scheduling
What is Round Robin (RR) scheduling?	Like FCFS but preemptive with a Time Quantum (TQ). Most popular. Criteria: AT + TQ. No convoy effect, very low starvation. Designed for time-sharing. Smaller TQ → more context switches (more overhead).	OS::Unit2_Scheduling
What is MLQ (Multi-Level Queue) scheduling?	Ready queue split into multiple fixed queues by process type (System &gt; Interactive &gt; Batch). Each queue has its own algorithm. Processes permanently assigned. Problems: convoy effect &amp; starvation for lower-priority queues.	OS::Unit2_Scheduling
What is MLFQ and how does it improve on MLQ?	Multi-Level Feedback Queue. Processes can <b>move between queues</b> based on CPU usage (too much CPU → lower queue; waited too long → higher queue via aging). Less starvation, flexible, configurable.	OS::Unit2_Scheduling
Scheduling algorithm comparison table (Convoy / Preemption / Overhead)?	<table border="1" cellpadding="3"><tr><th>Algorithm</th><th>Preemptive</th><th>Convoy</th><th>Overhead</th></tr><tr><td>FCFS</td><td>No</td><td>Yes</td><td>No</td></tr><tr><td>SJF</td><td>No</td><td>Yes</td><td>No</td></tr><tr><td>PSJF</td><td>Yes</td><td>No</td><td>Yes</td></tr><tr><td>Priority</td><td>No</td><td>Yes</td><td>No</td></tr><tr><td>P-Priority</td><td>Yes</td><td>Yes</td><td>Yes</td></tr><tr><td>RR</td><td>Yes</td><td>No</td><td>Yes</td></tr><tr><td>MLQ</td><td>Yes</td><td>Yes</td><td>Yes</td></tr><tr><td>MLFQ</td><td>Yes</td><td>Yes</td><td>Yes</td></tr></table>	OS::Unit2_Scheduling
What is Concurrency?	Execution of multiple instruction sequences at the same time. Happens in the OS when several process threads run in parallel.	OS::Unit2_Concurrency
Will a single CPU system gain from multi-threading?	No. Two threads still have to context switch on that single CPU — there is no real parallelism gain.	OS::Unit2_Concurrency
What are the benefits of Multi-threading?	1. <b>Responsiveness</b>: app remains responsive.<br>2. <b>Resource sharing</b>: efficient, threads share process memory.<br>3. <b>Economy</b>: cheaper to create/context-switch threads than processes.<br>4. Better utilization of multiprocessor architectures.	OS::Unit2_Concurrency
What is a Critical Section (CS)?	A segment of code where processes/threads access shared resources (variables, files) and perform write operations. Since execution is concurrent, any process can be interrupted mid-execution, causing inconsistency.	OS::Unit3_Sync
What is a Race Condition?	When two or more threads access shared data and try to change it simultaneously. The result depends on the scheduling order — threads are "racing" to access/change the data.	OS::Unit3_Sync
What are the three solutions to Race Condition?	1. <b>Atomic operations</b> (execute critical section in one CPU cycle).<br>2. <b>Mutual Exclusion</b> using Locks (Mutex).<br>3. <b>Semaphores</b>.	OS::Unit3_Sync
What is Peterson's Solution?	A software-only solution to avoid race condition using a <b>flag array</b> and a <b>turn variable</b>. Only works for exactly <b>2 processes/threads</b>.	OS::Unit3_Sync
What is a Mutex / Lock and its disadvantages?	Allows only one thread to access the critical section at a time.<br><b>Disadvantages:</b><br>• Contention (busy waiting; infinite wait if lock-holder dies)<br>• Deadlocks<br>• Debugging difficulty<br>• Starvation of high-priority threads	OS::Unit3_Sync
What is a Conditional Variable?	A synchronization primitive that lets a thread <b>wait until a condition occurs</b>. Works with a lock. Thread releases lock while waiting (avoids busy waiting) and reacquires it immediately on wakeup. No contention.	OS::Unit3_Sync
What is a Semaphore?	An integer equal to the number of available resources. Multiple threads can enter CS concurrently (up to resource count). Uses wait() to acquire and signal() to release.	OS::Unit3_Sync
Binary Semaphore vs Counting Semaphore?	<b>Binary:</b> value 0 or 1, equivalent to a mutex lock.<br><b>Counting:</b> unrestricted range, controls access to a resource with a finite number of instances (e.g., 3 database connections).	OS::Unit3_Sync
How does a Semaphore avoid busy waiting?	When wait() finds semaphore ≤ 0, instead of spinning, the process <b>blocks itself</b> into a waiting queue. It is restarted by a <b>wakeup()</b> operation (changing state to ready) when another process calls signal().	OS::Unit3_Sync
What is the Dining Philosophers Problem?	5 philosophers share 5 forks. Each needs 2 adjacent forks to eat. Modeled using semaphores (fork[5]{1}). Naive semaphore solution can cause <b>deadlock</b> if all 5 pick up their left fork simultaneously.	OS::Unit3_DeadLock
Three deadlock-free solutions to the Dining Philosophers Problem?	1. Allow at most <b>4 philosophers</b> sitting simultaneously.<br>2. Allow picking forks only if <b>both are available</b> (atomically, in a critical section).<br>3. <b>Odd-Even rule:</b> odd-numbered philosophers pick left then right; even pick right then left.	OS::Unit3_DeadLock
What is a Deadlock?	A state where two or more processes wait forever for resources held by each other. Processes never finish; system resources are tied up, preventing other jobs from starting. It is a bug in synchronization.	OS::Unit3_DeadLock
What are the 4 necessary conditions for Deadlock (Coffman's conditions)?	All 4 must hold simultaneously:<br>1. <b>Mutual Exclusion:</b> only 1 process uses a resource at a time.<br>2. <b>Hold &amp; Wait:</b> holds one resource while waiting for more.<br>3. <b>No Preemption:</b> resources released only voluntarily.<br>4. <b>Circular Wait:</b> circular chain of waiting processes.	OS::Unit3_DeadLock
What are the three methods for handling Deadlocks?	1. <b>Prevention/Avoidance:</b> ensure system never enters deadlocked state.<br>2. <b>Detection &amp; Recovery:</b> allow deadlock, detect and recover.<br>3. <b>Ignorance (Ostrich Algorithm):</b> pretend deadlocks don't occur (used by most OS in practice).	OS::Unit3_DeadLock
How to prevent each of the 4 Deadlock conditions?	<b>Mutual Exclusion:</b> use locks only for non-sharable resources.<br><b>Hold &amp; Wait:</b> request all resources before execution OR release all before new request.<br><b>No Preemption:</b> preempt resources from waiting processes.<br><b>Circular Wait:</b> impose strict ordering on resource acquisition.	OS::Unit3_DeadLock
What is Deadlock Avoidance and the Banker's Algorithm?	Kernel is given advance info on max resource needs per process. Before granting a request, system checks if resulting state is <b>safe</b>. Banker's Algorithm allocates only if the system remains in a safe state.	OS::Unit3_DeadLock
